alert_id,IncidentId,Timestamp,Category,MitreTechniques,IncidentGrade,ActionGrouped,ActionGranular,EntityType,EvidenceRole,ThreatFamily,OSFamily,SuspicionLevel,LastVerdict,hour,day,month,is_weekend
LIVE-0021,0.271931726090625,2024-06-09 02:30:04+00:00,16,835,0,3,0,5,0,636,3,2,5,0.0869565217391304,0.2666666666666666,0.4545454545454545,1.0
LIVE-0022,0.1257908094353529,2024-06-09 21:11:30+00:00,7,835,0,3,0,8,0,636,3,2,5,0.9130434782608696,0.2666666666666666,0.4545454545454545,1.0
LIVE-0023,0.0316623923215196,2024-06-10 00:35:02+00:00,7,835,0,3,0,17,0,636,3,2,5,0.0,0.3,0.4545454545454545,0.0
LIVE-0024,0.3306809048494085,2024-06-10 13:00:59+00:00,10,774,2,3,0,17,1,636,3,2,3,0.5652173913043478,0.3,0.4545454545454545,0.0
LIVE-0025,0.096589639520962,2024-06-10 13:12:47+00:00,10,777,2,3,0,26,1,636,3,2,2,0.5652173913043478,0.3,0.4545454545454545,0.0
LIVE-0026,0.1640114590246489,2024-06-11 18:24:55+00:00,7,835,0,3,0,8,0,636,3,2,5,0.7826086956521738,0.3333333333333333,0.4545454545454545,0.0
LIVE-0027,0.0050091545467582,2024-06-11 18:30:54+00:00,6,246,0,3,0,12,1,636,3,1,4,0.7826086956521738,0.3333333333333333,0.4545454545454545,0.0
LIVE-0028,0.6271381452788218,2024-06-11 20:44:25+00:00,7,835,0,3,0,12,1,636,3,2,5,0.8695652173913043,0.3333333333333333,0.4545454545454545,0.0
LIVE-0029,0.0484574005089194,2024-06-12 06:24:33+00:00,1,479,0,3,0,12,1,636,3,2,5,0.2608695652173913,0.3666666666666667,0.4545454545454545,0.0
LIVE-0030,0.4331868161186722,2024-06-12 07:49:33+00:00,7,835,0,3,0,27,0,636,3,2,5,0.3043478260869565,0.3666666666666667,0.4545454545454545,0.0
LIVE-0031,0.5092696039032719,2024-06-12 16:20:45+00:00,1,835,0,3,0,27,0,636,3,1,4,0.6956521739130435,0.3666666666666667,0.4545454545454545,0.0
LIVE-0032,0.2059089347709362,2024-06-12 19:37:41+00:00,10,777,1,3,0,16,1,636,3,2,4,0.8260869565217391,0.3666666666666667,0.4545454545454545,0.0
LIVE-0033,0.2772993920313756,2024-06-13 04:06:07+00:00,10,835,2,3,0,27,0,636,3,2,5,0.1739130434782608,0.4,0.4545454545454545,0.0
LIVE-0034,0.0100133066089491,2024-06-13 10:50:01+00:00,7,835,0,3,0,17,0,636,3,2,5,0.4347826086956521,0.4,0.4545454545454545,0.0
LIVE-0035,0.5104368503023168,2024-06-13 14:56:55+00:00,1,835,0,3,0,27,0,636,3,1,4,0.6086956521739131,0.4,0.4545454545454545,0.0
LIVE-0036,0.0582656052506078,2024-06-13 15:13:26+00:00,10,777,0,3,0,27,0,636,3,2,5,0.6521739130434783,0.4,0.4545454545454545,0.0
LIVE-0037,0.3881561175383773,2024-06-14 08:34:05+00:00,16,835,0,3,0,12,1,636,3,1,4,0.3478260869565217,0.4333333333333333,0.4545454545454545,0.0
LIVE-0038,0.1028444127249867,2024-06-14 10:50:09+00:00,16,835,2,3,0,15,0,636,3,1,4,0.4347826086956521,0.4333333333333333,0.4545454545454545,0.0
LIVE-0039,0.5115440668865536,2024-06-14 17:50:20+00:00,1,835,0,3,0,22,1,636,3,1,4,0.7391304347826086,0.4333333333333333,0.4545454545454545,0.0
LIVE-0040,0.2177331407932606,2024-06-14 17:55:12+00:00,16,835,0,3,0,5,0,636,3,2,5,0.7391304347826086,0.4333333333333333,0.4545454545454545,0.0
